epochs,neuronsPerClass,LR,testClass,result,guessIndex
,,,,,
5,2,0.001,Standup_chair,-1,-1
5,2,0.001,Walk,0.6729222520107239,0
5,2,0.001,Sitdown_chair,0.30303030303030304,1
5,2,0.001,Use_telephone,-1,-1
5,2,0.001,Comb_hair,0.40086206896551724,0
5,2,0.001,Getup_bed,0.01834862385321101,7
5,2,0.001,Eat_soup,0.08753315649867374,1
5,2,0.001,Descend_stairs,0.23423423423423423,1
5,2,0.001,Liedown_bed,0.0017730496453900709,11
5,2,0.001,Drink_glass,0.010526315789473684,3
5,2,0.001,Eat_meat,0.011990407673860911,4
5,2,0.001,Brush_teeth,0.5466388744137571,0
5,2,0.001,Pour_water,-1,-1
5,2,0.001,Climb_stairs,-1,-1
,,,,,
5,2,0.01,Standup_chair,-1,-1
5,2,0.01,Walk,-1,-1
5,2,0.01,Sitdown_chair,-1,-1
5,2,0.01,Use_telephone,-1,-1
5,2,0.01,Comb_hair,0.521551724137931,0
5,2,0.01,Getup_bed,-1,-1
5,2,0.01,Eat_soup,-1,-1
5,2,0.01,Descend_stairs,0.03153153153153153,3
5,2,0.01,Liedown_bed,0.014184397163120567,2
5,2,0.01,Drink_glass,-1,-1
5,2,0.01,Eat_meat,-1,-1
5,2,0.01,Brush_teeth,0.9140177175612298,0
5,2,0.01,Pour_water,-1,-1
5,2,0.01,Climb_stairs,-1,-1
,,,,,
5,2,0.1,Standup_chair,-1,-1
5,2,0.1,Walk,-1,-1
5,2,0.1,Sitdown_chair,-1,-1
5,2,0.1,Use_telephone,-1,-1
5,2,0.1,Comb_hair,-1,-1
5,2,0.1,Getup_bed,-1,-1
5,2,0.1,Eat_soup,-1,-1
5,2,0.1,Descend_stairs,-1,-1
5,2,0.1,Liedown_bed,1.0,0
5,2,0.1,Drink_glass,-1,-1
5,2,0.1,Eat_meat,-1,-1
5,2,0.1,Brush_teeth,-1,-1
5,2,0.1,Pour_water,-1,-1
5,2,0.1,Climb_stairs,-1,-1
,,,,,
5,5,0.001,Standup_chair,0.06930693069306931,4
5,5,0.001,Walk,0.4906166219839142,0
5,5,0.001,Sitdown_chair,-1,-1
5,5,0.001,Use_telephone,0.3976945244956772,0
5,5,0.001,Comb_hair,0.23706896551724138,0
5,5,0.001,Getup_bed,0.045871559633027525,6
5,5,0.001,Eat_soup,0.20689655172413793,1
5,5,0.001,Descend_stairs,0.2927927927927928,1
5,5,0.001,Liedown_bed,0.01950354609929078,10
5,5,0.001,Drink_glass,0.5263157894736842,0
5,5,0.001,Eat_meat,0.38689048760991207,0
5,5,0.001,Brush_teeth,0.26055237102657636,1
5,5,0.001,Pour_water,0.03636363636363636,6
5,5,0.001,Climb_stairs,0.2620320855614973,1
,,,,,
5,5,0.01,Standup_chair,-1,-1
5,5,0.01,Walk,-1,-1
5,5,0.01,Sitdown_chair,-1,-1
5,5,0.01,Use_telephone,0.01729106628242075,6
5,5,0.01,Comb_hair,0.6206896551724138,0
5,5,0.01,Getup_bed,0.1559633027522936,2
5,5,0.01,Eat_soup,-1,-1
5,5,0.01,Descend_stairs,0.0990990990990991,1
5,5,0.01,Liedown_bed,0.047872340425531915,4
5,5,0.01,Drink_glass,-1,-1
5,5,0.01,Eat_meat,-1,-1
5,5,0.01,Brush_teeth,0.8306409588327254,0
5,5,0.01,Pour_water,0.01818181818181818,7
5,5,0.01,Climb_stairs,0.08021390374331551,3
,,,,,
